"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"384";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;14;53,566;53,566;1,96;1,263;52,303;54,829;14,406;14,284;13,565;15,359;562,789;438,998;-0,031;-0,073;-1,06;-1,13;0,489;0,024;1;1;0,389;0,206;1;0,847;0,899
"385";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;15;34,466;34,466;1,96;0,826;33,64;35,292;9,418;9,337;8,868;10,041;562,789;438,998;-0,054;-0,096;-0,998;-1,062;0,316;0,024;1;1;0,328;0,167;1;0,815;0,876
"386";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;16;1,302;1,302;1,96;0,051;1,251;1,353;0,582;0,465;0,548;0,621;562,789;438,998;-0,165;-0,321;-0,6;-0,24;0,206;0,21;0;1;0,032;0,844;1;0,525;0,751
"387";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;17;604,094;604,094;1,96;16,363;587,731;620,457;186,686;186,255;175,788;199,035;562,789;438,998;-0,728;-0,736;-0,646;-0,656;2,984;0,016;1;1;0,604;0,464;1;0,965;0,965
"388";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;18;386,248;386,248;1,96;9,294;376,954;395,542;106,032;105,639;99,842;113,046;562,789;438,998;-0,969;-0,986;-0,402;-0,395;2,149;0,016;1;1;0,793;0,394;1;0,941;0,095
"389";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;22;128,724;128,724;1,96;5,601;123,123;134,325;63,904;63,689;60,173;68,131;562,789;438,998;0,241;0,223;-1,482;-1,521;1,051;0,028;1;1;0,606;0,292;1;0,914;0,982
"390";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;23;38,174;38,174;1,96;1,03;37,144;39,204;11,746;11,65;11,06;12,523;562,789;438,998;-0,413;-0,432;-0,753;-0,784;0,354;0,026;1;1;0,965;0,732;1;0,87;0,734
"391";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;24;324,426;324,426;1,96;9,916;314,51;334,342;113,131;112,69;106,527;120,615;562,789;438,998;0,035;0,036;-1,292;-1,312;2,225;0,01;1;1;0,339;0,138;1;0,904;0,627
"392";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;25;360,788;360,788;1,96;12,299;348,489;373,087;140,319;138,211;132,127;149,601;562,789;438,998;0,602;0,562;-0,635;-0,733;6,236;0,046;0,943;1;0,485;0,75;1;0,767;0,833
"393";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;28;6,434;6,434;1,96;0,343;6,091;6,777;3,911;3,881;3,683;4,17;562,789;438,998;0,204;0,183;-0,61;-0,689;0,206;0,048;0,922;1;0,065;0,027;1;0,864;0,38
"394";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;31;327,794;327,794;1,96;12,076;315,718;339,87;137,775;137,164;129,732;146,889;562,789;438,998;0,279;0,262;-1,057;-1,1;4,011;0,03;1;1;0,757;0,978;1;0,905;0,698
"395";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;32;75,386;75,386;1,96;1,862;73,524;77,248;21,241;21,181;20,001;22,646;562,789;438,998;-0,672;-0,681;-0,6;-0,598;0,369;0,02;1;1;0,911;0,807;1;0,959;0,52
"396";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;33;1155,436;1155,436;1,96;37,84;1117,596;1193,276;431,702;430,921;406,501;460,26;562,789;438,998;1,18;1,179;0,089;0,064;5,811;0,02;1;1;0,295;0,303;1;0,976;0,171
"397";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;34;606,58;606,58;1,96;14,953;591,627;621,533;170,59;170,326;160,632;181,875;562,789;438,998;-0,492;-0,497;-1,006;-1,012;2,788;0,028;1;1;0,984;0,765;1;0,972;0,061
"398";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;47;470,14;470,14;1,96;24,258;445,882;494,398;276,752;276,303;260,596;295,06;562,789;438,998;1,234;1,232;-0,094;-0,114;3,601;0,032;0,999;1;0,803;0,654;1;0,979;0,263
"399";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;48;9,846;9,846;1,96;0,449;9,397;10,295;5,126;5,088;4,827;5,465;562,789;438,998;1,049;1,06;0,287;0,277;0,229;0,074;0,467;1;0,62;0,595;1;0,906;0,663
"400";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;49;187,3;187,3;1,96;8,997;178,303;196,297;102,649;101,942;96,656;109,439;562,789;438,998;1,305;1,316;0,597;0,574;2,753;0,036;0,996;1;0,865;0,734;1;0,924;0,889
"401";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;50;161,792;161,792;1,96;5,443;156,349;167,235;62,103;61,692;58,477;66,211;562,789;438,998;0,663;0,657;0,014;0,01;1,785;0,042;0,974;1;0,839;0,615;1;0,921;0,734
"402";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;51;13,982;13,982;1,96;0,525;13,457;14,507;5,985;5,953;5,636;6,381;562,789;438,998;0,647;0,644;-0,144;-0,153;0,207;0,052;0,869;1;0,764;0,536;1;0,93;0,539
"403";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;52;28,192;28,192;1,96;0,994;27,198;29,186;11,345;11,28;10,682;12,095;562,789;438,998;0,655;0,651;-0,048;-0,049;0,336;0,056;0,804;1;0,827;0,576;1;0,927;0,686
"404";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;57;338,108;338,108;1,96;14,34;323,768;352,448;163,6;161,072;154,05;174,422;562,789;438,998;1,236;1,185;0,644;0,389;6,987;0,03;1;1;0,854;0,709;1;0,815;0,551
"405";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;61;302,45;302,45;1,96;8,391;294,059;310,841;95,733;94,427;90,145;102,066;562,789;438,998;1,052;0,997;0,396;0,21;2,691;0,012;1;1;0,953;0,794;1;0,833;0,75
"406";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;62;58,68;58,68;1,96;0,673;58,007;59,353;7,681;7,339;7,232;8,189;562,789;438,998;0,3;0,19;-0,419;-0,555;0,424;0,024;1;1;0,633;0,916;1;0,554;0,563
"407";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;63;131,856;131,856;1,96;1,265;130,591;133,121;14,427;13,932;13,585;15,382;562,789;438,998;0,361;0,267;-0,515;-0,629;0,64;0,026;1;1;0,721;0,96;1;0,609;0,52
"408";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;71;70,822;70,822;1,96;3,345;67,477;74,167;38,165;36,397;35,937;40,69;562,789;438,998;0,138;-0,037;-0,956;-1,104;2,956;0,054;0,838;1;0,986;0,792;1;0,516;0,945
"409";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;72;4,812;4,812;1,96;0,181;4,631;4,993;2,06;1,994;1,94;2,197;562,789;438,998;0,252;0,169;-0,556;-0,698;0,186;0,046;0,943;1;0,46;0,45;1;0,597;0,81
"410";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;73;19,278;19,278;1,96;0,724;18,554;20,002;8,261;8,048;7,779;8,808;562,789;438,998;0,288;0,193;-0,672;-0,809;0,392;0,024;1;1;0,363;0,297;1;0,661;0,699
"411";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;74;487,166;487,166;1,96;35,582;451,584;522,748;405,943;403,332;382,245;432,796;562,789;438,998;1,243;1,268;-0,063;-0,007;9,492;0,056;0,804;1;0,826;0,917;1;0,921;0,095
"412";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;76;94,562;94,562;1,96;3,493;91,069;98,055;39,85;38,76;37,524;42,486;562,789;438,998;0,35;0,241;-0,722;-0,916;1,766;0,028;1;1;0,382;0,329;1;0,636;0,779
"413";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;77;52,494;52,494;1,96;4,713;47,781;57,207;53,769;52,373;50,63;57,326;562,789;438,998;1,438;1,325;1,567;1,038;2,393;0,028;1;1;0,977;0,751;1;0,756;0,664
"414";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;78;21,472;21,472;1,96;1,751;19,721;23,223;19,975;19,358;18,809;21,296;562,789;438,998;1,334;1,215;1,202;0,695;0,951;0,024;1;1;0,938;0,76;1;0,706;0,584
"415";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;81;53,988;53,988;1,96;4,773;49,215;58,761;54,451;53,06;51,272;58,053;562,789;438,998;1,346;1,243;1,244;0,787;2,438;0,028;1;1;0,942;0,743;1;0,752;0,661
"416";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;88;316,662;316,662;1,96;28,334;288,328;344,996;323,254;321,37;304,384;344,638;562,789;438,998;1,46;1,446;0,735;0,64;7,373;0,022;1;1;0,957;0,991;1;0,935;0,257
"417";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;89;74,676;74,676;1,96;7,124;67,552;81,8;81,271;80,897;76,526;86,647;562,789;438,998;1,506;1,491;0,762;0,666;2,025;0,026;1;1;0,973;0,99;1;0,941;0,352
"418";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;92;264,088;264,088;1,96;19,703;244,385;283,791;224,785;223,725;211,663;239,655;562,789;438,998;0,552;0,537;-1,288;-1,321;4,985;0,028;1;1;0,929;0,973;1;0,912;0,629
"419";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;93;40,776;40,776;1,96;3,647;37,129;44,423;41,608;41,355;39,18;44,361;562,789;438,998;1,345;1,329;0,545;0,464;0,946;0,03;1;1;0,975;0,906;1;0,918;0,899
"420";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;94;76,784;76,784;1,96;5,477;71,307;82,261;62,485;61,586;58,837;66,618;562,789;438,998;1,711;1,675;1,938;1,735;2,021;0,024;1;1;0,531;0,838;1;0,877;0,579
"421";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;97;114,488;114,488;1,96;5,096;109,392;119,584;58,144;56,095;54,75;61,991;562,789;438,998;0,944;0,917;1,267;1,402;3,228;0,038;0,991;1;0,926;0,815;1;0,714;0,803
"422";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;98;183,822;183,822;1,96;17,003;166,819;200,825;193,979;192,17;182,655;206,811;562,789;438,998;1,202;1,164;0,229;0,054;5,724;0,034;0,998;1;0,862;0,848;1;0,873;0,814
"423";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;99;92,234;92,234;1,96;1,023;91,211;93,257;11,668;11,575;10,987;12,44;562,789;438,998;-0,173;-0,164;-0,529;-0,565;0,34;0,024;1;1;0,703;0,628;1;0,883;0,157
"424";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;101;141,388;141,388;1,96;8,68;132,708;150,068;99,027;98,614;93,246;105,578;562,789;438,998;0,629;0,615;-0,997;-1,018;1,747;0,03;1;1;0,681;0,513;1;0,918;0,573
"425";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;102;323,66;323,66;1,96;14,715;308,945;338,375;167,877;159,514;158,076;178,982;562,789;438,998;0,901;0,793;0,597;0,314;8,031;0,028;1;1;0,903;0,854;1;0,571;0,527
"426";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;103;11,336;11,336;1,96;0,528;10,808;11,864;6,029;5,644;5,677;6,427;562,789;438,998;0,601;0,625;-0,471;-0,623;0,411;0,05;0,897;1;0,231;0,187;1;0,508;0,464
"427";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;104;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"428";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;109;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"429";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;110;32,726;32,726;1,96;0,796;31,93;33,522;9,081;8,887;8,551;9,682;562,789;438,998;0,329;0,341;-0,606;-0,624;0,404;0,026;1;1;0,573;0,577;1;0,705;0,941
"430";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;111;150,59;150,59;1,96;9,299;141,291;159,889;106,091;103,85;99,898;113,11;562,789;438,998;0,669;0,638;-0,17;-0,253;4,132;0,03;1;1;0,646;0,472;1;0,75;0,413
"431";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;112;1,81;1,81;1,96;0,172;1,638;1,982;1,966;1,85;1,851;2,096;562,789;438,998;1,78;1,507;3,611;1,843;0,209;0,088;0,26;1;0,195;0,951;1;0,61;0,988
"432";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;113;40,042;40,042;1,96;3,327;36,715;43,369;37,951;35,567;35,736;40,462;562,789;438,998;2,018;1,667;4,698;2,553;2,519;0,038;0,991;1;0,127;0,795;1;0,597;0,965
"433";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;114;44,008;44,008;1,96;3,56;40,448;47,568;40,612;37,866;38,241;43,298;562,789;438,998;2,039;1,677;4,853;2,646;2,617;0,038;0,991;1;0,106;0,78;1;0,582;0,955
"434";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;115;15,236;15,236;1,96;0,872;14,364;16,108;9,944;9,846;9,364;10,602;562,789;438,998;1,551;1,539;1,067;0,931;0,357;0,078;0,4;1;0,782;0,931;1;0,912;0,831
"435";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;116;7,944;7,944;1,96;0,243;7,701;8,187;2,768;2,725;2,606;2,951;562,789;438,998;0,431;0,393;-0,502;-0,59;0,161;0,06;0,731;1;0,4;0,298;1;0,762;0,857
"436";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;117;21,756;21,756;1,96;0,505;21,251;22,261;5,766;5,685;5,429;6,147;562,789;438,998;0,44;0,398;-0,463;-0,573;0,306;0,04;0,984;1;0,387;0,283;1;0,803;0,956
"437";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;118;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"438";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;119;41,092;41,092;1,96;1,013;40,079;42,105;11,552;11,4;10,878;12,316;562,789;438,998;0,437;0,394;-0,5;-0,604;0,461;0,034;0,998;1;0,382;0,263;1;0,819;0,977
"439";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;134;77,61;77,61;1,96;3,406;74,204;81,016;38,86;38,449;36,592;41,431;562,789;438,998;0,451;0,401;-1,149;-1,294;1,254;0,022;1;1;0,25;0,176;1;0,78;0,854
"440";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;141;323,1;323,1;1,96;9,148;313,952;332,248;104,361;103,667;98,269;111,265;562,789;438,998;-0,101;-0,084;-1,003;-1,056;3,426;0,022;1;1;0,921;0,821;1;0,878;0,496
