"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"100";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;220;28,868;28,118;1,96;2,574;26,294;31,442;29,365;29,341;27,651;31,307;562,789;438,998;1,343;1,405;0,529;0,628;1,13;0,036;0,996;0,742;0,867;0,635;0,774;0,995;0,461
"101";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;222;133,62;132,402;1,96;12,075;121,545;145,695;137,766;134,786;129,723;146,879;562,789;438,998;1,409;1,462;1,438;1,846;5,714;0,026;1;0,908;0,712;0,784;0,929;0,82;0,814
"102";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;227;1897,866;1887,826;1,96;46,76;1851,106;1944,626;533,472;522,159;502,33;568,762;562,789;438,998;0,343;0,275;-0,969;-1,106;22,624;0,028;1;0,806;0,399;0,666;0,834;0,641;0,274
"103";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;228;186,152;184,956;1,96;5,243;180,909;191,395;59,816;58,766;56,325;63,773;562,789;438,998;0,222;0,174;-1,132;-1,233;2,192;0,022;1;0,794;0,405;0,675;0,799;0,677;0,295
"104";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;229;3045,16;3061,744;1,96;55,394;2989,766;3100,554;631,976;646,996;595,084;673,782;562,789;438,998;0,525;0,389;-0,347;-0,537;38,044;0,054;0,838;0,739;0,688;0,569;0,765;0,685;0,232
"105";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;230;29,89;29,812;1,96;0,725;29,165;30,615;8,271;8,3;7,788;8,818;562,789;438,998;0,217;0,287;-1,356;-1,28;0,318;0,02;1;0,904;0,997;0,995;0,915;0,926;0,402
"106";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;237;348,192;349,66;1,96;8,265;339,927;356,457;94,296;96,159;88,791;100,534;562,789;438,998;0,341;0,289;-0,901;-0,906;4,188;0,046;0,944;0,843;0,49;0,549;0,868;0,659;0,221
"107";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;238;80,554;80,392;1,96;1,743;78,811;82,297;19,884;19,825;18,723;21,2;562,789;438,998;1,175;1,167;0,226;0,236;0,522;0,012;1;0,916;0,51;0,435;0,925;0,962;0,076
"108";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;239;152,236;151,86;1,96;2,657;149,579;154,893;30,311;30,115;28,542;32,316;562,789;438,998;1,003;0,984;0,038;0,035;0,944;0,018;1;0,872;0,679;0,547;0,89;0,92;0,086
"109";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;240;113,502;113,724;1,96;3,269;110,233;116,771;37,301;38,475;35,123;39,768;562,789;438,998;0,761;0,729;-0,605;-0,744;1,326;0,032;0,999;0,94;0,283;0,09;0,935;0,59;0,425
"110";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;241;24,73;24,746;1,96;0,563;24,167;25,293;6,423;6,346;6,048;6,848;562,789;438,998;0,167;0,181;-0,654;-0,659;0,104;0,008;1;0,974;0,126;0,101;0,981;0,84;0,461
"111";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;242;44,608;44,434;1,96;1,419;43,189;46,027;16,185;16,749;15,24;17,255;562,789;438,998;0,704;0,699;-0,747;-0,824;0,69;0,034;0,998;0,892;0,28;0,097;0,91;0,541;0,523
"112";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;243;41,446;40,602;1,96;2,637;38,809;44,083;30,084;30,654;28,328;32,074;562,789;438,998;1,002;1,1;-0,163;-0,041;1,484;0,04;0,985;0,721;0,513;0,484;0,761;0,768;0,202
"113";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;244;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"114";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;245;646,626;647,872;1,96;10,496;636,13;657,122;119,744;120,584;112,754;127,665;562,789;438,998;1,133;1,162;0,672;0,704;2,818;0,014;1;0,894;0,993;0,858;0,904;0,922;0,117
