TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,1.0,11.8
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,12.0,15.35
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,5.0,12.98
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,13.0,19.32
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,26.0,19.7
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,7.000000000000001,19.99
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,3.0,16.37
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,13.0,18.68
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,3.0,12.58
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,6.0,18.43
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,6.0,12.91
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,6.0,12.91
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,5.0,12.65
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,7.000000000000001,13.54
