etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
FW,4,0,3,6,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,6,1.0,ANGRA2,2,16768.2,20.0,335364.0
FW,4,0,3,6,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,9,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,9,1.0,ANGRA2,2,11119.2,20.0,222384.0
FW,4,0,3,9,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,12,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,12,1.0,ANGRA2,2,6556.2,20.0,131124.0
FW,4,0,3,12,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,15,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,15,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,3,15,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,3,18,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,18,1.0,ANGRA2,2,0.0,20.0,0.0
FW,4,0,3,18,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,21,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,21,1.0,ANGRA2,2,0.0,20.0,0.0
FW,4,0,3,21,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,3,24,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,24,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,3,24,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,27,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,27,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,3,27,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,3,30,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,30,1.0,ANGRA2,2,0.0,20.0,0.0
FW,4,0,3,30,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,4,1.0,ANGRA1,1,132137.2,10.0,1.321372e6
FW,4,0,4,4,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,4,4,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,7,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,4,7,1.0,ANGRA2,2,25000.0,20.0,500000.0
FW,4,0,4,7,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,10,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,4,10,1.0,ANGRA2,2,25000.0,20.0,500000.0
FW,4,0,4,10,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,4,13,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,4,13,1.0,ANGRA2,2,25000.0,20.0,500000.0
FW,4,0,4,13,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,4,16,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,4,16,1.0,ANGRA2,2,21398.2,20.0,427964.0
FW,4,0,4,16,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,19,1.0,ANGRA1,1,121447.2,10.0,1.214472e6
FW,4,0,4,19,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,4,19,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,22,1.0,ANGRA1,1,135311.2,10.0,1.353112e6
FW,4,0,4,22,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,4,22,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,4,25,1.0,ANGRA1,1,143584.2,10.0,1.435842e6
