"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"88";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;190;326,872;326,872;1,96;10,363;316,509;337,235;118,227;118,227;111,326;126,048;562,789;438,998;0,572;0,572;-1,161;-1,161;0;0;1;1;1;1;1;1;1
"89";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;191;52,238;52,238;1,96;1,39;50,848;53,628;15,859;15,859;14,934;16,909;562,789;438,998;0,497;0,497;-0,874;-0,874;0;0;1;1;1;1;0,999;1;1
"90";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;196;29,036;29,036;1,96;0,583;28,453;29,619;6,655;6,655;6,266;7,095;562,789;438,998;-0,568;-0,568;-0,65;-0,65;0;0;1;1;1;1;1;1;1
"91";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;204;2949,652;2949,652;1,96;41,55;2908,102;2991,202;474,034;474,034;446,361;505,392;562,789;438,998;-0,259;-0,259;-1,177;-1,177;0;0;1;1;1;1;1;1;1
"92";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;205;96,698;96,698;1,96;2,076;94,622;98,774;23,687;23,687;22,304;25,254;562,789;438,998;-0,178;-0,178;-1,382;-1,382;0;0;1;1;1;1;1;1;1
"93";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;206;8,972;8,972;1,96;0,256;8,716;9,228;2,919;2,919;2,748;3,112;562,789;438,998;0,998;0,998;0,099;0,099;0;0;1;1;1;1;0,997;1;1
"94";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;207;1,59;1,59;1,96;0,064;1,526;1,654;0,733;0,733;0,691;0,782;562,789;438,998;0,052;0,052;-0,177;-0,177;0;0;1;1;1;1;0,983;1;1
"95";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;209;234,71;234,71;1,96;4,815;229,895;239,525;54,929;54,929;51,722;58,562;562,789;438,998;-0,011;-0,011;-0,687;-0,687;0;0;1;1;1;1;0,999;1;1
"96";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;211;89,914;89,914;1,96;2,011;87,903;91,925;22,948;22,948;21,608;24,466;562,789;438,998;0,72;0,72;0,272;0,272;0;0;1;1;1;1;1;1;1
"97";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;215;414,46;414,46;1,96;32,756;381,704;447,216;373,708;373,708;351,892;398,43;562,789;438,998;0,906;0,906;-0,44;-0,44;0;0;1;1;1;1;1;1;1
"98";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;216;45,292;45,292;1,96;3,321;41,971;48,613;37,887;37,887;35,675;40,393;562,789;438,998;1,291;1,291;0,929;0,929;0;0;1;1;1;1;1;1;1
"99";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;217;106,762;106,762;1,96;5,893;100,869;112,655;67,231;67,231;63,306;71,678;562,789;438,998;1,316;1,316;1,531;1,531;0;0;1;1;1;1;1;1;1
"100";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;220;31,234;31,234;1,96;2,546;28,688;33,78;29,052;29,052;27,356;30,973;562,789;438,998;1,393;1,393;1,43;1,43;0;0;1;1;1;1;1;1;1
"101";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;222;360,106;360,106;1,96;36,91;323,196;397,016;421,097;421,097;396,515;448,953;562,789;438,998;1,518;1,518;1,292;1,292;0;0;1;1;1;1;1;1;1
"102";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;227;1040,26;1040,26;1,96;20,964;1019,296;1061,224;239,177;239,177;225,215;254,999;562,789;438,998;0,712;0,712;-0,519;-0,519;0;0;1;1;1;1;1;1;1
"103";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;228;114,74;114,74;1,96;2,607;112,133;117,347;29,737;29,737;28,001;31,705;562,789;438,998;0,571;0,571;-0,816;-0,816;0;0;1;1;1;1;1;1;1
"104";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;229;2064,806;2064,806;1,96;31,51;2033,296;2096,316;359,492;359,492;338,506;383,273;562,789;438,998;1,349;1,349;0,807;0,807;0;0;1;1;1;1;1;1;1
"105";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;230;38,284;38,284;1,96;0,925;37,359;39,209;10,549;10,549;9,934;11,247;562,789;438,998;1,276;1,276;0,434;0,434;0;0;1;1;1;1;0,999;1;1
"106";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;237;234,546;234,546;1,96;3,358;231,188;237,904;38,315;38,315;36,079;40,85;562,789;438,998;0,109;0,109;-1,236;-1,236;0;0;1;1;1;1;1;1;1
"107";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;238;67,422;67,422;1,96;1,031;66,391;68,453;11,764;11,764;11,077;12,542;562,789;438,998;0,583;0,583;0,148;0,148;0;0;1;1;1;1;0,998;1;1
